case,time_min,feed_kmol_min,x_bottom,x_feed,x_top,M_bottom_kmol,M_feed_kmol,M_top_kmol,distillate_light_kmol_min,bottoms_light_kmol_min,total_inventory_kmol,light_inventory_kmol,max_abs_x_v2_minus_reference,max_abs_M_v2_minus_reference_kmol
feed_plus_1_percent,320.0,1.01,0.016042853979784385,0.5320635926567042,0.992224351921389,3.687400000000009,0.50063,0.5,0.4961121759606945,0.008021426989892192,23.70000000000001,11.012162862192534,5.551115123125783e-16,9.769962616701378e-15
feed_plus_1_percent,330.0,1.01,0.016112975605548703,0.5323502654282661,0.9922428310344763,3.7874000000000065,0.5006299999999998,0.5,0.49612141551723815,0.008056487802774352,23.800000000000008,11.020602991293986,6.661338147750939e-16,7.549516567451064e-15
feed_plus_1_percent,340.0,1.01,0.016178933037294726,0.5326177756183313,0.9922600184858885,3.8874000000000066,0.50063,0.5,0.49613000924294426,0.008089466518647363,23.900000000000006,11.028613888092902,5.551115123125783e-16,6.661338147750939e-15
feed_plus_1_percent,350.0,1.01,0.016240942242938303,0.5328673946841663,0.9922760074110102,3.987400000000005,0.50063,0.5,0.4961380037055051,0.008120471121469151,24.000000000000007,11.03622205319946,6.661338147750939e-16,4.440892098500626e-15
feed_plus_1_percent,360.0,1.01,0.01629921212668596,0.5331003119174701,0.9922908839160546,4.087400000000008,0.5006299999999999,0.5,0.4961454419580273,0.00814960606334298,24.10000000000001,11.043452477018956,6.661338147750939e-16,6.217248937900877e-15
feed_plus_1_percent,370.0,1.01,0.016353944181548896,0.5333176393920387,0.9923047276453123,4.187400000000007,0.5006299999999999,0.5,0.49615236382265615,0.008176972090774448,24.20000000000001,11.050328709690643,4.440892098500626e-16,6.217248937900877e-15
feed_plus_1_percent,380.0,1.01,0.01640533224540272,0.5335204166682791,0.9923176122981577,4.287400000000007,0.50063,0.5,0.49615880614907887,0.00820266612270136,24.300000000000004,11.056872929791265,4.440892098500626e-16,5.329070518200751e-15
feed_plus_1_percent,390.0,1.01,0.01645356234785579,0.5337096152581359,0.9923296061008161,4.387400000000006,0.5006300000000001,0.5,0.49616480305040805,0.008226781173927895,24.400000000000006,11.063106011556105,5.551115123125783e-16,2.6645352591003757e-15
feed_plus_1_percent,400.0,1.01,0.016498812636050145,0.5338861428554442,0.9923407722373278,4.487400000000004,0.5006299999999998,0.5,0.4961703861186639,0.008249406318025072,24.500000000000007,11.069047590408562,6.661338147750939e-16,4.440892098500626e-15
feed_plus_1_percent,410.0,1.01,0.016541253368419478,0.5340508473378969,0.9923511692436466,4.5874000000000015,0.5006299999999999,0.5,0.4961755846218233,0.008270626684209739,24.6,11.074716126625315,5.551115123125783e-16,8.881784197001252e-16
feed_plus_1_percent,420.0,1.01,0.016581046966368092,0.5342045205476686,0.9923608513683849,4.687400000000003,0.5006299999999999,0.5,0.49618042568419246,0.008290523483184046,24.700000000000003,11.080128966998176,3.3306690738754696e-16,1.7763568394002505e-15
feed_plus_1_percent,430.0,1.01,0.016618348114747102,0.5343479018584586,0.9923698689033392,4.7874000000000025,0.50063,0.5,0.4961849344516696,0.008309174057373551,24.800000000000004,11.085302404385022,4.996003610813204e-16,6.661338147750939e-16
feed_plus_1_percent,440.0,1.01,0.01665330390291512,0.534481681537137,0.9923782684865917,4.887400000000001,0.5006299999999999,0.5,0.49618913424329586,0.00832665195145756,24.9,11.09025173507065,5.551115123125783e-16,2.6645352591003757e-15
